task,category,linguistice_property,template_name,template
question_answering,aspect,active,choose,"{passage}
Question: {question}? Which answer do you choose?"
question_answering,aspect,active,give,"{passage}
Question: {question}? Could you give me the correct answer?"
question_answering,aspect,active,infer,"{passage}
Question: {question}? Could you infer the correct answer?"
question_answering,aspect,active,pick,"{passage}
Question: {question}? Could you pick the correct answer?"
question_answering,aspect,active,select,"{passage}
Question: {question}? Could you select the most suitable answer?"
question_answering,aspect,active,solve,"{passage}
Question: {question}? Could you solve the question by choosing the correct answer?"
question_answering,aspect,active,tell,"{passage}
Question: {question}? Could you tell me which answer is correct?"
question_answering,aspect,active,think,"{passage}
Question: {question}? What do you think is the correct answer?"
question_answering,aspect,passive,aq,"{passage}
Question: {question}? Could the question be answered?"
question_answering,aspect,passive,best,"{passage}
Question: {question}? Could the best answer to the question be chosen?"
question_answering,aspect,passive,choose,"{passage}
Question: {question}? Which answer could be chosen?"
question_answering,aspect,passive,give,"{passage}
Question: {question}? Could the correct answer be given?"
question_answering,aspect,passive,infer,"{passage}
Question: {question}? Could the correct answer be inferred?"
question_answering,aspect,passive,pick,"{passage}
Question: {question}? Could the correct answer be picked?"
question_answering,aspect,passive,select,"{passage}
Question: {question}? Could the most suitable answer be selected?"
question_answering,aspect,passive,solve,"{passage}
Question: {question}? Could the question be solved by choosing the correct answer?"
question_answering,aspect,passive,tell,"{passage}
Question: {question}? Could it be told which answer is correct?"
question_answering,aspect,passive,think,"{passage}
Question: {question}? What is thought to be the correct answer?"
question_answering,modality,can,choose,"{passage}
Question: {question}? Which answer can you choose?"
question_answering,modality,can,correct,"{passage}
Question: {question}? Which answer can be correct?"
question_answering,modality,can,correct2,"{passage}
Question: {question}? Which can be the correct answer to the question?"
question_answering,modality,can,think,"{passage}
Question: {question}? What do you think can be the correct answer?"
question_answering,modality,could,choose,"{passage}
Question: {question}? Which answer could you choose?"
question_answering,modality,could,correct,"{passage}
Question: {question}? Which answer could be correct?"
question_answering,modality,could,correct2,"{passage}
Question: {question}? Which could be the correct answer to the question?"
question_answering,modality,could,think,"{passage}
Question: {question}? What do you think could be the correct answer?"
question_answering,modality,may,choose,"{passage}
Question: {question}? Which answer may you choose?"
question_answering,modality,may,correct,"{passage}
Question: {question}? Which answer may be correct?"
question_answering,modality,may,correct2,"{passage}
Question: {question}? Which may be the correct answer to the question?"
question_answering,modality,may,think,"{passage}
Question: {question}? What do you think may be the correct answer?"
question_answering,modality,might,choose,"{passage}
Question: {question}? Which answer might you choose?"
question_answering,modality,might,correct,"{passage}
Question: {question}? Which answer might be correct?"
question_answering,modality,might,correct2,"{passage}
Question: {question}? Which might be the correct answer to the question?"
question_answering,modality,might,think,"{passage}
Question: {question}? What do you think might be the correct answer?"
question_answering,modality,must,choose,"{passage}
Question: {question}? Which answer must you choose?"
question_answering,modality,must,correct,"{passage}
Question: {question}? Which answer must be correct?"
question_answering,modality,must,correct2,"{passage}
Question: {question}? Which must be the correct answer to the question?"
question_answering,modality,must,think,"{passage}
Question: {question}? What do you think must be the correct answer?"
question_answering,modality,should,choose,"{passage}
Question: {question}? Which answer should you choose?"
question_answering,modality,should,correct,"{passage}
Question: {question}? Which answer should be correct?"
question_answering,modality,should,correct2,"{passage}
Question: {question}? Which should be the correct answer to the question?"
question_answering,modality,should,think,"{passage}
Question: {question}? What do you think should be the correct answer?"
question_answering,modality,would,choose,"{passage}
Question: {question}? Which answer would you choose?"
question_answering,modality,would,correct,"{passage}
Question: {question}? Which answer would be correct?"
question_answering,modality,would,correct2,"{passage}
Question: {question}? Which would be the correct answer to the question?"
question_answering,modality,would,think,"{passage}
Question: {question}? What do you think would be the correct answer?"
question_answering,mood,imperative,aq,"{passage}
Question: {question}? Answer the question."
question_answering,mood,imperative,best,"{passage}
Question: {question}? Choose the best answer to the question."
question_answering,mood,imperative,choose,"{passage}
Question: {question}? Tell me which answer you choose."
question_answering,mood,imperative,correct,"{passage}
Question: {question}? Tell me which answer is correct."
question_answering,mood,imperative,correct2,"{passage}
Question: {question}? Tell me which is the correct answer to the question."
question_answering,mood,imperative,give,"{passage}
Question: {question}? Give me the correct answer."
question_answering,mood,imperative,infer,"{passage}
Question: {question}? Infer the correct answer."
question_answering,mood,imperative,pick,"{passage}
Question: {question}? Pick the correct answer."
question_answering,mood,imperative,select,"{passage}
Question: {question}? Select the most suitable answer."
question_answering,mood,imperative,solve,"{passage}
Question: {question}? Solve the question by choosing the correct answer."
question_answering,mood,imperative,tell,"{passage}
Question: {question}? Tell me which answer is correct."
question_answering,mood,imperative,think,"{passage}
Question: {question}? Tell me what you think is the correct answer."
question_answering,mood,indicative,aq,"{passage}
Question: {question}? You answer the question:"
question_answering,mood,indicative,best,"{passage}
Question: {question}? You choose the best answer to the question:"
question_answering,mood,indicative,choose,"{passage}
Question: {question}? You choose this answer:"
question_answering,mood,indicative,correct,"{passage}
Question: {question}? This answer is correct:"
question_answering,mood,indicative,correct2,"{passage}
Question: {question}? This is the correct answer to the question:"
question_answering,mood,indicative,give,"{passage}
Question: {question}? You give me the correct answer:"
question_answering,mood,indicative,infer,"{passage}
Question: {question}? You infer the correct answer:"
question_answering,mood,indicative,pick,"{passage}
Question: {question}? You pick the correct answer:"
question_answering,mood,indicative,select,"{passage}
Question: {question}? You select the most suitable answer:"
question_answering,mood,indicative,solve,"{passage}
Question: {question}? You solve the question by choosing the correct answer:"
question_answering,mood,indicative,tell,"{passage}
Question: {question}? You tell me which answer is correct:"
question_answering,mood,indicative,think,"{passage}
Question: {question}? You think this is the correct answer:"
question_answering,mood,interrogative,aq,"{passage}
Question: {question}? Could you answer the question?"
question_answering,mood,interrogative,best,"{passage}
Question: {question}? Could you choose the best answer to the question?"
question_answering,mood,interrogative,choose,"{passage}
Question: {question}? Which answer do you choose?"
question_answering,mood,interrogative,correct,"{passage}
Question: {question}? Which answer is correct?"
question_answering,mood,interrogative,correct2,"{passage}
Question: {question}? Which is the correct answer to the question?"
question_answering,mood,interrogative,give,"{passage}
Question: {question}? Could you give me the correct answer?"
question_answering,mood,interrogative,infer,"{passage}
Question: {question}? Could you infer the correct answer?"
question_answering,mood,interrogative,pick,"{passage}
Question: {question}? Could you pick the correct answer?"
question_answering,mood,interrogative,select,"{passage}
Question: {question}? Could you select the most suitable answer?"
question_answering,mood,interrogative,solve,"{passage}
Question: {question}? Could you solve the question by choosing the correct answer?"
question_answering,mood,interrogative,tell,"{passage}
Question: {question}? Could you tell me which answer is correct?"
question_answering,mood,interrogative,think,"{passage}
Question: {question}? What do you think is the correct answer?"
question_answering,null,null,nullQ,"{passage}
Question: {question}?"
question_answering,null,null,nullnoQ,"{passage}
{question}?"
question_answering,synonymy,interrogative_answer,best,"{passage}
Question: {question}? Could you choose the best answer to the question?"
question_answering,synonymy,interrogative_answer,choose,"{passage}
Question: {question}? Which answer do you choose?"
question_answering,synonymy,interrogative_answer,correct,"{passage}
Question: {question}? Which answer is correct?"
question_answering,synonymy,interrogative_answer,correct2,"{passage}
Question: {question}? Which is the correct answer to the question?"
question_answering,synonymy,interrogative_answer,give,"{passage}
Question: {question}? Could you give me the correct answer?"
question_answering,synonymy,interrogative_answer,infer,"{passage}
Question: {question}? Could you infer the correct answer?"
question_answering,synonymy,interrogative_answer,pick,"{passage}
Question: {question}? Could you pick the correct answer?"
question_answering,synonymy,interrogative_answer,select,"{passage}
Question: {question}? Could you select the most suitable answer?"
question_answering,synonymy,interrogative_answer,solve,"{passage}
Question: {question}? Could you solve the question by choosing the correct answer?"
question_answering,synonymy,interrogative_answer,tell,"{passage}
Question: {question}? Could you tell me which answer is correct?"
question_answering,synonymy,interrogative_answer,think,"{passage}
Question: {question}? What do you think is the correct answer?"
question_answering,synonymy,interrogative_appropriate,best,"{passage}
Question: {question}? Could you choose the appropriate answer to the question?"
question_answering,synonymy,interrogative_appropriate,correct,"{passage}
Question: {question}? Which answer is appropriate?"
question_answering,synonymy,interrogative_appropriate,correct2,"{passage}
Question: {question}? Which is the appropriate answer to the question?"
question_answering,synonymy,interrogative_appropriate,give,"{passage}
Question: {question}? Could you give me the appropriate answer?"
question_answering,synonymy,interrogative_appropriate,infer,"{passage}
Question: {question}? Could you infer the appropriate answer?"
question_answering,synonymy,interrogative_appropriate,pick,"{passage}
Question: {question}? Could you pick the appropriate answer?"
question_answering,synonymy,interrogative_appropriate,select,"{passage}
Question: {question}? Could you select the appropriate answer?"
question_answering,synonymy,interrogative_appropriate,solve,"{passage}
Question: {question}? Could you solve the question by choosing the appropriate answer?"
question_answering,synonymy,interrogative_appropriate,tell,"{passage}
Question: {question}? Could you tell me which answer is appropriate?"
question_answering,synonymy,interrogative_appropriate,think,"{passage}
Question: {question}? What do you think is the appropriate answer?"
question_answering,synonymy,interrogative_correct,best,"{passage}
Question: {question}? Could you choose the correct answer to the question?"
question_answering,synonymy,interrogative_correct,correct,"{passage}
Question: {question}? Which answer is correct?"
question_answering,synonymy,interrogative_correct,correct2,"{passage}
Question: {question}? Which is the correct answer to the question?"
question_answering,synonymy,interrogative_correct,give,"{passage}
Question: {question}? Could you give me the correct answer?"
question_answering,synonymy,interrogative_correct,infer,"{passage}
Question: {question}? Could you infer the correct answer?"
question_answering,synonymy,interrogative_correct,pick,"{passage}
Question: {question}? Could you pick the correct answer?"
question_answering,synonymy,interrogative_correct,select,"{passage}
Question: {question}? Could you select the correct answer?"
question_answering,synonymy,interrogative_correct,solve,"{passage}
Question: {question}? Could you solve the question by choosing the correct answer?"
question_answering,synonymy,interrogative_correct,tell,"{passage}
Question: {question}? Could you tell me which answer is correct?"
question_answering,synonymy,interrogative_correct,think,"{passage}
Question: {question}? What do you think is the correct answer?"
question_answering,synonymy,interrogative_proper,best,"{passage}
Question: {question}? Could you choose the proper answer to the question?"
question_answering,synonymy,interrogative_proper,correct,"{passage}
Question: {question}? Which answer is proper?"
question_answering,synonymy,interrogative_proper,correct2,"{passage}
Question: {question}? Which is the proper answer to the question?"
question_answering,synonymy,interrogative_proper,give,"{passage}
Question: {question}? Could you give me the proper answer?"
question_answering,synonymy,interrogative_proper,infer,"{passage}
Question: {question}? Could you infer the proper answer?"
question_answering,synonymy,interrogative_proper,pick,"{passage}
Question: {question}? Could you pick the proper answer?"
question_answering,synonymy,interrogative_proper,select,"{passage}
Question: {question}? Could you select the proper answer?"
question_answering,synonymy,interrogative_proper,solve,"{passage}
Question: {question}? Could you solve the question by choosing the proper answer?"
question_answering,synonymy,interrogative_proper,tell,"{passage}
Question: {question}? Could you tell me which answer is proper?"
question_answering,synonymy,interrogative_proper,think,"{passage}
Question: {question}? What do you think is the proper answer?"
question_answering,synonymy,interrogative_reply,best,"{passage}
Question: {question}? Could you choose the best reply to the question?"
question_answering,synonymy,interrogative_reply,choose,"{passage}
Question: {question}? Which reply do you choose?"
question_answering,synonymy,interrogative_reply,correct,"{passage}
Question: {question}? Which reply is correct?"
question_answering,synonymy,interrogative_reply,correct2,"{passage}
Question: {question}? Which is the correct reply to the question?"
question_answering,synonymy,interrogative_reply,give,"{passage}
Question: {question}? Could you give me the correct reply?"
question_answering,synonymy,interrogative_reply,infer,"{passage}
Question: {question}? Could you infer the correct reply?"
question_answering,synonymy,interrogative_reply,pick,"{passage}
Question: {question}? Could you pick the correct reply?"
question_answering,synonymy,interrogative_reply,select,"{passage}
Question: {question}? Could you select the most suitable reply?"
question_answering,synonymy,interrogative_reply,solve,"{passage}
Question: {question}? Could you solve the question by choosing the correct reply?"
question_answering,synonymy,interrogative_reply,tell,"{passage}
Question: {question}? Could you tell me which reply is correct?"
question_answering,synonymy,interrogative_reply,think,"{passage}
Question: {question}? What do you think is the correct reply?"
question_answering,synonymy,interrogative_response,best,"{passage}
Question: {question}? Could you choose the best response to the question?"
question_answering,synonymy,interrogative_response,choose,"{passage}
Question: {question}? Which response do you choose?"
question_answering,synonymy,interrogative_response,correct,"{passage}
Question: {question}? Which response is correct?"
question_answering,synonymy,interrogative_response,correct2,"{passage}
Question: {question}? Which is the correct response to the question?"
question_answering,synonymy,interrogative_response,give,"{passage}
Question: {question}? Could you give me the correct response?"
question_answering,synonymy,interrogative_response,infer,"{passage}
Question: {question}? Could you infer the correct response?"
question_answering,synonymy,interrogative_response,pick,"{passage}
Question: {question}? Could you pick the correct response?"
question_answering,synonymy,interrogative_response,select,"{passage}
Question: {question}? Could you select the most suitable response?"
question_answering,synonymy,interrogative_response,solve,"{passage}
Question: {question}? Could you solve the question by choosing the correct response?"
question_answering,synonymy,interrogative_response,tell,"{passage}
Question: {question}? Could you tell me which response is correct?"
question_answering,synonymy,interrogative_response,think,"{passage}
Question: {question}? What do you think is the correct response?"
question_answering,synonymy,interrogative_right,best,"{passage}
Question: {question}? Could you choose the right answer to the question?"
question_answering,synonymy,interrogative_right,correct,"{passage}
Question: {question}? Which answer is right?"
question_answering,synonymy,interrogative_right,correct2,"{passage}
Question: {question}? Which is the right answer to the question?"
question_answering,synonymy,interrogative_right,give,"{passage}
Question: {question}? Could you give me the right answer?"
question_answering,synonymy,interrogative_right,infer,"{passage}
Question: {question}? Could you infer the right answer?"
question_answering,synonymy,interrogative_right,pick,"{passage}
Question: {question}? Could you pick the right answer?"
question_answering,synonymy,interrogative_right,select,"{passage}
Question: {question}? Could you select the right answer?"
question_answering,synonymy,interrogative_right,solve,"{passage}
Question: {question}? Could you solve the question by choosing the right answer?"
question_answering,synonymy,interrogative_right,tell,"{passage}
Question: {question}? Could you tell me which answer is right?"
question_answering,synonymy,interrogative_right,think,"{passage}
Question: {question}? What do you think is the right answer?"
question_answering,synonymy,interrogative_solution,best,"{passage}
Question: {question}? Could you choose the best solution to the question?"
question_answering,synonymy,interrogative_solution,choose,"{passage}
Question: {question}? Which solution do you choose?"
question_answering,synonymy,interrogative_solution,correct,"{passage}
Question: {question}? Which solution is correct?"
question_answering,synonymy,interrogative_solution,correct2,"{passage}
Question: {question}? Which is the correct solution to the question?"
question_answering,synonymy,interrogative_solution,give,"{passage}
Question: {question}? Could you give me the correct solution?"
question_answering,synonymy,interrogative_solution,infer,"{passage}
Question: {question}? Could you infer the correct solution?"
question_answering,synonymy,interrogative_solution,pick,"{passage}
Question: {question}? Could you pick the correct solution?"
question_answering,synonymy,interrogative_solution,select,"{passage}
Question: {question}? Could you select the most suitable solution?"
question_answering,synonymy,interrogative_solution,solve,"{passage}
Question: {question}? Could you solve the question by choosing the correct solution?"
